location,size,rooms,price
coastal,643,6,694500
coastal,656,6,694500
coastal,669,6,694500
coastal,682,6,694500
coastal,695,6,694500
coastal,708,6,694500
coastal,721,6,694500
coastal,734,6,694500
coastal,747,6,694500
coastal,760,6,694500
coastal,773,6,694500
coastal,786,6,694500
coastal,799,6,694500
coastal,812,6,694500
coastal,825,6,694500
coastal,838,6,695000
coastal,851,6,695000
coastal,864,6,695000
coastal,877,6,695000
coastal,890,6,695000
coastal,513,7,821500
coastal,526,7,821500
coastal,539,7,821500
coastal,552,7,821500
coastal,565,7,821500
coastal,578,7,821500
coastal,591,7,821500
coastal,604,7,821500
coastal,617,7,821500
coastal,630,7,821500
coastal,643,7,821500
coastal,656,7,821500
coastal,669,7,821500
coastal,682,7,821500
coastal,695,7,821500
coastal,708,7,821500
coastal,721,7,821500
coastal,734,7,821500
coastal,747,7,821500
coastal,760,7,821500
coastal,773,7,821500
coastal,786,7,821500
coastal,799,7,821500
coastal,812,7,821500
coastal,825,7,821500
coastal,838,7,822000
coastal,851,7,822000
coastal,864,7,822000
coastal,877,7,822000
coastal,890,7,822000
coastal,513,8,947500
coastal,526,8,947500
coastal,539,8,947500
coastal,552,8,947500
coastal,565,8,947500
coastal,578,8,947500
coastal,591,8,947500
coastal,604,8,947500
coastal,617,8,947500
coastal,630,8,947500
coastal,643,8,947500
coastal,656,8,947500
coastal,669,8,947500
coastal,682,8,947500
coastal,695,8,947500
coastal,708,8,947500
coastal,721,8,947500
coastal,734,8,947500
coastal,747,8,947500
coastal,760,8,947500
coastal,773,8,947500
coastal,786,8,947500
coastal,799,8,947500
coastal,812,8,947500
coastal,825,8,947500
coastal,838,8,948000
coastal,851,8,948000
coastal,864,8,948000
coastal,877,8,948000
coastal,890,8,948000
coastal,513,9,1074500
coastal,526,9,1074500
coastal,539,9,1074500
coastal,552,9,1074500
coastal,565,9,1074500
coastal,578,9,1074500
coastal,591,9,1074500
coastal,604,9,1074500
coastal,617,9,1074500
coastal,630,9,1074500
coastal,643,9,1074500
coastal,656,9,1074500
coastal,669,9,1074500
coastal,682,9,1074500
coastal,695,9,1074500
coastal,708,9,1074500
coastal,721,9,1074500
coastal,734,9,1074500
coastal,747,9,1074500
coastal,760,9,1074500
coastal,773,9,1074500
coastal,786,9,1074500
coastal,799,9,1074500
coastal,812,9,1074500
coastal,825,9,1074500
coastal,838,9,1075000
coastal,851,9,1075000
coastal,864,9,1075000
coastal,877,9,1075000
coastal,890,9,1075000
